Symptoms,Cause,Chemical_Name,Remedies,Homemade_Soup,Reason_for_Remedi_Suggested,How_to_Use_Remedi,Tips,
White-coated tongue with bitter taste,Overexertion,Mercurous salts,Mercurius Solubilis,Mint coriander soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid caffeine and alcohol,
Anxiety with restlessness and fear,Overexertion,Bryonine,Bryonia Alba,Beetroot soup,"For stitching pains, worse with movement","200C single dose, repeat if needed",Consult practitioner if severe,
Sharp lumbar pain after lifting,Medication side-effect,Gelsemine,Gelsemium,Tomato basil soup,"For anticipatory anxiety, weakness, heaviness",6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Tingling in fingertips in cold weather,Bacterial infection,Alkaloids,Ignatia Amara,Ginger garlic soup,"For grief, emotional suppression",30C thrice daily during acute phase,Observe changes for 48 hours,
Sharp lumbar pain after lifting,Spicy food,Elemental phosphorus,Phosphorus,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Dry cough worse at night,Overeating,Bryonine,Bryonia Alba,Carrot and celery soup,"For stitching pains, worse with movement",30C once daily for 3 days,Consult practitioner if severe,
Dry cough worse at night,Poor sleep,Bryonine,Bryonia Alba,Tomato basil soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Keep remedies away from strong odors,
Frequent loose stools after spicy food,Indigestion,Sodium chloride,Natrum Muriaticum,Pepper rasam,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Anxiety with restlessness and fear,Spicy food,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Throbbing headache with sensitivity to light,Viral infection,Helenalin,Arnica Montana,Carrot and celery soup,"For trauma, bruising, muscle soreness",6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Pulsating ear pain on swallowing,Poor sleep,Thujone,Thuja Occidentalis,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Sleeplessness due to overthinking,Emotional distress,Bryonine,Bryonia Alba,Spinach lentil soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Keep remedies away from strong odors,
Cramping abdominal pain relieved by bending forward,Hormonal imbalance,Elemental phosphorus,Phosphorus,Carrot and celery soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Throbbing headache with sensitivity to light,Overexertion,Protoanemonin,Pulsatilla,Spinach lentil soup,"For mild, emotional patients with changeable symptoms",30C thrice daily during acute phase,Observe changes for 48 hours,
Cold extremities with chilliness,Bacterial infection,Sodium chloride,Natrum Muriaticum,Pumpkin soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Stiff joints worse on first movement,Viral infection,Helenalin,Arnica Montana,Beetroot soup,"For trauma, bruising, muscle soreness",200C weekly for chronic cases,Avoid caffeine and alcohol,
Tingling in fingertips in cold weather,Indigestion,Sodium chloride,Natrum Muriaticum,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Medication side-effect,Helenalin,Arnica Montana,Pumpkin soup,"For trauma, bruising, muscle soreness",30C thrice daily during acute phase,Maintain hydration and rest,
Sneezing with watery eyes in morning,Medication side-effect,Organic ink compounds,Sepia,Pumpkin soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Nausea with sour belching,Cold exposure,Elemental phosphorus,Phosphorus,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Stiff joints worse on first movement,Food poisoning,Arsenic trioxide,Arsenicum Album,Carrot and celery soup,"For anxiety, restlessness, burning pains",30C thrice daily during acute phase,Observe changes for 48 hours,
Dry skin with flaky patches,Stress,Protoanemonin,Pulsatilla,Beetroot soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Maintain hydration and rest,
Sneezing with watery eyes in morning,Indigestion,Gelsemine,Gelsemium,Mint coriander soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Consult practitioner if severe,
Cramping abdominal pain relieved by bending forward,Allergic reaction,Chamazulene,Chamomilla,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Cold extremities with chilliness,Stress,Sodium chloride,Natrum Muriaticum,Beetroot soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Red itchy rash on forearms,Food poisoning,Elemental phosphorus,Phosphorus,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Throbbing headache with sensitivity to light,Food poisoning,Silicon dioxide,Silicea,Pepper rasam,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Anxiety with restlessness and fear,Weather change,Organic ink compounds,Sepia,Beetroot soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Throbbing headache with sensitivity to light,Contaminated water,Elemental sulphur,Sulphur,Herbal lemon soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Consult practitioner if severe,
Stiff joints worse on first movement,Cold exposure,Elemental phosphorus,Phosphorus,Beetroot soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid caffeine and alcohol,
Nausea with sour belching,Spicy food,Helenalin,Arnica Montana,Herbal lemon soup,"For trauma, bruising, muscle soreness",6C every 4-6 hours until improvement,Consult practitioner if severe,
Hot flushes with night sweats,Overexertion,Calcium carbonate,Calcarea Carbonica,Ginger garlic soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Observe changes for 48 hours,
White-coated tongue with bitter taste,Overexertion,Mercurous salts,Mercurius Solubilis,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Sharp lumbar pain after lifting,Emotional distress,Bryonine,Bryonia Alba,Tomato basil soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Maintain hydration and rest,
Sneezing with watery eyes in morning,Hormonal imbalance,Bryonine,Bryonia Alba,Ginger garlic soup,"For stitching pains, worse with movement",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Pulsating ear pain on swallowing,Medication side-effect,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid caffeine and alcohol,
Hot flushes with night sweats,Hormonal imbalance,Arsenic trioxide,Arsenicum Album,Pumpkin soup,"For anxiety, restlessness, burning pains",200C weekly for chronic cases,Consult practitioner if severe,
Sleeplessness due to overthinking,Bacterial infection,Sporopollenin,Lycopodium,Carrot and celery soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Stiff joints worse on first movement,Spicy food,Thujone,Thuja Occidentalis,Mint coriander soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Stiff joints worse on first movement,Poor sleep,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Pulsating ear pain on swallowing,Viral infection,Strychnine,Nux Vomica,Spinach lentil soup,"For indigestion, irritability after overeating",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Hot flushes with night sweats,Spicy food,Alkaloids,Ignatia Amara,Mint coriander soup,"For grief, emotional suppression","200C single dose, repeat if needed",Maintain hydration and rest,
Sharp lumbar pain after lifting,Dehydration,Thujone,Thuja Occidentalis,Herbal lemon soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sleeplessness due to overthinking,Spicy food,Organic ink compounds,Sepia,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Dry skin with flaky patches,Hormonal imbalance,Sporopollenin,Lycopodium,Mint coriander soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Burning pain in stomach after eating,Overexertion,Organic ink compounds,Sepia,Ginger garlic soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Maintain hydration and rest,
Throbbing headache with sensitivity to light,Weather change,Arsenic trioxide,Arsenicum Album,Vegetable clear soup,"For anxiety, restlessness, burning pains","200C single dose, repeat if needed",Keep remedies away from strong odors,
Frequent loose stools after spicy food,Indigestion,Strychnine,Nux Vomica,Vegetable clear soup,"For indigestion, irritability after overeating","200C single dose, repeat if needed",Consult practitioner if severe,
Throbbing headache with sensitivity to light,Contaminated water,Calcium carbonate,Calcarea Carbonica,Pepper rasam,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Irritable mood with tearfulness,Emotional distress,Elemental sulphur,Sulphur,Tomato basil soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Anxiety with restlessness and fear,Emotional distress,Arsenic trioxide,Arsenicum Album,Spinach lentil soup,"For anxiety, restlessness, burning pains",200C weekly for chronic cases,Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Indigestion,Silicon dioxide,Silicea,Ginger garlic soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Maintain hydration and rest,
Stiff joints worse on first movement,Allergic reaction,Sodium chloride,Natrum Muriaticum,Herbal lemon soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Stiff joints worse on first movement,Weather change,Urushiol,Rhus Toxicodendron,Vegetable clear soup,"For sprains, stiffness, worse first movement",200C weekly for chronic cases,Maintain hydration and rest,
Dry cough worse at night,Bacterial infection,Protoanemonin,Pulsatilla,Mint coriander soup,"For mild, emotional patients with changeable symptoms",30C once daily for 3 days,Observe changes for 48 hours,
Throbbing headache with sensitivity to light,Poor sleep,Mercurous salts,Mercurius Solubilis,Mint coriander soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Maintain hydration and rest,
Sleeplessness due to overthinking,Poor sleep,Sporopollenin,Lycopodium,Ginger garlic soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
White-coated tongue with bitter taste,Viral infection,Arsenic trioxide,Arsenicum Album,Herbal lemon soup,"For anxiety, restlessness, burning pains",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Stiff joints worse on first movement,Overeating,Alkaloids,Ignatia Amara,Pumpkin soup,"For grief, emotional suppression",30C thrice daily during acute phase,Keep remedies away from strong odors,
Dry cough worse at night,Medication side-effect,Aconitine,Aconitum Napellus,Tomato basil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Dry cough worse at night,Bacterial infection,Organic ink compounds,Sepia,Spinach lentil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Cramping abdominal pain relieved by bending forward,Cold exposure,Atropine,Belladonna,Tomato basil soup,"For sudden high fever, throbbing pains","200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Cold exposure,Aconitine,Aconitum Napellus,Vegetable clear soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Hot flushes with night sweats,Food poisoning,Elemental phosphorus,Phosphorus,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Nausea with sour belching,Allergic reaction,Thujone,Thuja Occidentalis,Ginger garlic soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Red itchy rash on forearms,Poor sleep,Chamazulene,Chamomilla,Mint coriander soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Hot flushes with night sweats,Medication side-effect,Calcium carbonate,Calcarea Carbonica,Mint coriander soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Throbbing headache with sensitivity to light,Weather change,Alkaloids,Ignatia Amara,Herbal lemon soup,"For grief, emotional suppression",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Red itchy rash on forearms,Food poisoning,Protoanemonin,Pulsatilla,Pepper rasam,"For mild, emotional patients with changeable symptoms","200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sharp lumbar pain after lifting,Overexertion,Mercurous salts,Mercurius Solubilis,Tomato basil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Tingling in fingertips in cold weather,Viral infection,Atropine,Belladonna,Ginger garlic soup,"For sudden high fever, throbbing pains",200C weekly for chronic cases,Avoid self-medication in serious cases,
Sneezing with watery eyes in morning,Stress,Arsenic trioxide,Arsenicum Album,Pepper rasam,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Maintain hydration and rest,
Frequent loose stools after spicy food,Stress,Silicon dioxide,Silicea,Pumpkin soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Keep remedies away from strong odors,
Tingling in fingertips in cold weather,Contaminated water,Chamazulene,Chamomilla,Spinach lentil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Burning pain in stomach after eating,Overexertion,Chamazulene,Chamomilla,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Stiff joints worse on first movement,Indigestion,Atropine,Belladonna,Pepper rasam,"For sudden high fever, throbbing pains",6C every 4-6 hours until improvement,Consult practitioner if severe,
Red itchy rash on forearms,Dehydration,Alkaloids,Ignatia Amara,Pumpkin soup,"For grief, emotional suppression",30C once daily for 3 days,Keep remedies away from strong odors,
Pulsating ear pain on swallowing,Emotional distress,Chamazulene,Chamomilla,Ginger garlic soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Maintain hydration and rest,
Irritable mood with tearfulness,Viral infection,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Keep remedies away from strong odors,
White-coated tongue with bitter taste,Cold exposure,Alkaloids,Ignatia Amara,Ginger garlic soup,"For grief, emotional suppression",30C thrice daily during acute phase,Consult practitioner if severe,
White-coated tongue with bitter taste,Indigestion,Bryonine,Bryonia Alba,Ginger garlic soup,"For stitching pains, worse with movement",30C thrice daily during acute phase,Consult practitioner if severe,
Cramping abdominal pain relieved by bending forward,Stress,Silicon dioxide,Silicea,Vegetable clear soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid self-medication in serious cases,
Sore throat with difficulty swallowing,Hormonal imbalance,Urushiol,Rhus Toxicodendron,Mint coriander soup,"For sprains, stiffness, worse first movement","200C single dose, repeat if needed",Maintain hydration and rest,
Sleeplessness due to overthinking,Poor sleep,Elemental sulphur,Sulphur,Tomato basil soup,"For chronic skin conditions, itching, burning",30C once daily for 3 days,Maintain hydration and rest,
Cold extremities with chilliness,Contaminated water,Arsenic trioxide,Arsenicum Album,Mint coriander soup,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Keep remedies away from strong odors,
Dry cough worse at night,Overexertion,Gelsemine,Gelsemium,Tomato basil soup,"For anticipatory anxiety, weakness, heaviness",30C thrice daily during acute phase,Observe changes for 48 hours,
Sneezing with watery eyes in morning,Viral infection,Calcium carbonate,Calcarea Carbonica,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Keep remedies away from strong odors,
Stiff joints worse on first movement,Weather change,Atropine,Belladonna,Herbal lemon soup,"For sudden high fever, throbbing pains",200C weekly for chronic cases,Observe changes for 48 hours,
Sneezing with watery eyes in morning,Dehydration,Thujone,Thuja Occidentalis,Pumpkin soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Cold extremities with chilliness,Spicy food,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Sneezing with watery eyes in morning,Allergic reaction,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Keep remedies away from strong odors,
White-coated tongue with bitter taste,Overeating,Aconitine,Aconitum Napellus,Beetroot soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Anxiety with restlessness and fear,Overexertion,Elemental phosphorus,Phosphorus,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid caffeine and alcohol,
Frequent loose stools after spicy food,Weather change,Strychnine,Nux Vomica,Vegetable clear soup,"For indigestion, irritability after overeating",30C once daily for 3 days,Avoid self-medication in serious cases,
Dry cough worse at night,Medication side-effect,Helenalin,Arnica Montana,Ginger garlic soup,"For trauma, bruising, muscle soreness",30C thrice daily during acute phase,Consult practitioner if severe,
Cramping abdominal pain relieved by bending forward,Weather change,Sporopollenin,Lycopodium,Ginger garlic soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Irritable mood with tearfulness,Overeating,Silicon dioxide,Silicea,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Nausea with sour belching,Dehydration,Sporopollenin,Lycopodium,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Hot flushes with night sweats,Emotional distress,Atropine,Belladonna,Herbal lemon soup,"For sudden high fever, throbbing pains",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Nausea with sour belching,Bacterial infection,Thujone,Thuja Occidentalis,Mint coriander soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Observe changes for 48 hours,
Sleeplessness due to overthinking,Viral infection,Protoanemonin,Pulsatilla,Beetroot soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Nausea with sour belching,Allergic reaction,Elemental phosphorus,Phosphorus,Pepper rasam,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Nausea with sour belching,Weather change,Arsenic trioxide,Arsenicum Album,Mint coriander soup,"For anxiety, restlessness, burning pains",6C every 4-6 hours until improvement,Observe changes for 48 hours,
Dry skin with flaky patches,Indigestion,Sodium chloride,Natrum Muriaticum,Ginger garlic soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Hot flushes with night sweats,Poor sleep,Gelsemine,Gelsemium,Pumpkin soup,"For anticipatory anxiety, weakness, heaviness",30C thrice daily during acute phase,Consult practitioner if severe,
Sleeplessness due to overthinking,Emotional distress,Chamazulene,Chamomilla,Herbal lemon soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Dry cough worse at night,Poor sleep,Organic ink compounds,Sepia,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Cramping abdominal pain relieved by bending forward,Cold exposure,Calcium carbonate,Calcarea Carbonica,Beetroot soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Burning pain in stomach after eating,Viral infection,Organic ink compounds,Sepia,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Dry cough worse at night,Poor sleep,Organic ink compounds,Sepia,Tomato basil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Sleeplessness due to overthinking,Overexertion,Calcium carbonate,Calcarea Carbonica,Tomato basil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Red itchy rash on forearms,Overeating,Elemental phosphorus,Phosphorus,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Sleeplessness due to overthinking,Food poisoning,Mercurous salts,Mercurius Solubilis,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Cold extremities with chilliness,Bacterial infection,Sporopollenin,Lycopodium,Carrot and celery soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid caffeine and alcohol,
Cold extremities with chilliness,Indigestion,Strychnine,Nux Vomica,Carrot and celery soup,"For indigestion, irritability after overeating",6C every 4-6 hours until improvement,Maintain hydration and rest,
Hot flushes with night sweats,Food poisoning,Chamazulene,Chamomilla,Vegetable clear soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Pulsating ear pain on swallowing,Overeating,Thujone,Thuja Occidentalis,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Tingling in fingertips in cold weather,Viral infection,Thujone,Thuja Occidentalis,Pumpkin soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Hot flushes with night sweats,Bacterial infection,Gelsemine,Gelsemium,Herbal lemon soup,"For anticipatory anxiety, weakness, heaviness",200C weekly for chronic cases,Consult practitioner if severe,
Cold extremities with chilliness,Allergic reaction,Atropine,Belladonna,Spinach lentil soup,"For sudden high fever, throbbing pains",200C weekly for chronic cases,Maintain hydration and rest,
Red itchy rash on forearms,Weather change,Helenalin,Arnica Montana,Mint coriander soup,"For trauma, bruising, muscle soreness",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Tingling in fingertips in cold weather,Overexertion,Strychnine,Nux Vomica,Carrot and celery soup,"For indigestion, irritability after overeating",200C weekly for chronic cases,Consult practitioner if severe,
Stiff joints worse on first movement,Medication side-effect,Arsenic trioxide,Arsenicum Album,Pepper rasam,"For anxiety, restlessness, burning pains",30C once daily for 3 days,Observe changes for 48 hours,
White-coated tongue with bitter taste,Food poisoning,Thujone,Thuja Occidentalis,Spinach lentil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Sore throat with difficulty swallowing,Medication side-effect,Arsenic trioxide,Arsenicum Album,Spinach lentil soup,"For anxiety, restlessness, burning pains","200C single dose, repeat if needed",Observe changes for 48 hours,
Cramping abdominal pain relieved by bending forward,Overexertion,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Keep remedies away from strong odors,
Dry skin with flaky patches,Stress,Elemental sulphur,Sulphur,Vegetable clear soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Consult practitioner if severe,
Tingling in fingertips in cold weather,Weather change,Gelsemine,Gelsemium,Ginger garlic soup,"For anticipatory anxiety, weakness, heaviness",30C once daily for 3 days,Consult practitioner if severe,
Hot flushes with night sweats,Medication side-effect,Bryonine,Bryonia Alba,Ginger garlic soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Avoid self-medication in serious cases,
Sharp lumbar pain after lifting,Hormonal imbalance,Aconitine,Aconitum Napellus,Herbal lemon soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Tingling in fingertips in cold weather,Poor sleep,Sporopollenin,Lycopodium,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Cold extremities with chilliness,Poor sleep,Calcium carbonate,Calcarea Carbonica,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Observe changes for 48 hours,
Irritable mood with tearfulness,Overeating,Silicon dioxide,Silicea,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Irritable mood with tearfulness,Poor sleep,Elemental phosphorus,Phosphorus,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Cramping abdominal pain relieved by bending forward,Overexertion,Strychnine,Nux Vomica,Tomato basil soup,"For indigestion, irritability after overeating",200C weekly for chronic cases,Avoid self-medication in serious cases,
Sleeplessness due to overthinking,Weather change,Bryonine,Bryonia Alba,Mint coriander soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Keep remedies away from strong odors,
Irritable mood with tearfulness,Indigestion,Thujone,Thuja Occidentalis,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Avoid self-medication in serious cases,
Burning pain in stomach after eating,Viral infection,Atropine,Belladonna,Beetroot soup,"For sudden high fever, throbbing pains",30C thrice daily during acute phase,Observe changes for 48 hours,
Dry cough worse at night,Poor sleep,Atropine,Belladonna,Tomato basil soup,"For sudden high fever, throbbing pains",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Stiff joints worse on first movement,Emotional distress,Arsenic trioxide,Arsenicum Album,Spinach lentil soup,"For anxiety, restlessness, burning pains",30C thrice daily during acute phase,Avoid self-medication in serious cases,
Hot flushes with night sweats,Indigestion,Alkaloids,Ignatia Amara,Carrot and celery soup,"For grief, emotional suppression",200C weekly for chronic cases,Observe changes for 48 hours,
Burning pain in stomach after eating,Medication side-effect,Urushiol,Rhus Toxicodendron,Vegetable clear soup,"For sprains, stiffness, worse first movement","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Stiff joints worse on first movement,Medication side-effect,Organic ink compounds,Sepia,Tomato basil soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Maintain hydration and rest,
Throbbing headache with sensitivity to light,Allergic reaction,Calcium carbonate,Calcarea Carbonica,Ginger garlic soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Frequent loose stools after spicy food,Cold exposure,Chamazulene,Chamomilla,Spinach lentil soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Sharp lumbar pain after lifting,Food poisoning,Organic ink compounds,Sepia,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Anxiety with restlessness and fear,Cold exposure,Silicon dioxide,Silicea,Herbal lemon soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Maintain hydration and rest,
Stiff joints worse on first movement,Contaminated water,Urushiol,Rhus Toxicodendron,Spinach lentil soup,"For sprains, stiffness, worse first movement",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Frequent loose stools after spicy food,Hormonal imbalance,Protoanemonin,Pulsatilla,Mint coriander soup,"For mild, emotional patients with changeable symptoms",30C once daily for 3 days,Consult practitioner if severe,
Dry cough worse at night,Dehydration,Organic ink compounds,Sepia,Herbal lemon soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Frequent loose stools after spicy food,Poor sleep,Silicon dioxide,Silicea,Beetroot soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Dry skin with flaky patches,Spicy food,Elemental sulphur,Sulphur,Beetroot soup,"For chronic skin conditions, itching, burning",200C weekly for chronic cases,Consult practitioner if severe,
Burning pain in stomach after eating,Overexertion,Elemental phosphorus,Phosphorus,Vegetable clear soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Nausea with sour belching,Spicy food,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Consult practitioner if severe,
Irritable mood with tearfulness,Poor sleep,Helenalin,Arnica Montana,Tomato basil soup,"For trauma, bruising, muscle soreness",6C every 4-6 hours until improvement,Avoid caffeine and alcohol,
Cramping abdominal pain relieved by bending forward,Stress,Aconitine,Aconitum Napellus,Mint coriander soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Observe changes for 48 hours,
Sneezing with watery eyes in morning,Weather change,Calcium carbonate,Calcarea Carbonica,Pumpkin soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Maintain hydration and rest,
Sharp lumbar pain after lifting,Weather change,Elemental phosphorus,Phosphorus,Tomato basil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Keep remedies away from strong odors,
